trip_id,stop_id
0-1-y12-1.1.O,0226
0-1-y12-1.1.O,0228
0-1-y12-1.1.O,0229
0-1-y12-1.1.O,0227
0-1-y12-1.1.O,0230
0-1-y12-1.1.O,0231
0-1-y12-1.1.O,1641
0-1-y12-1.1.O,1642
0-1-y12-1.1.O,0213
0-1-y12-1.1.O,0214
0-1-y12-1.1.O,4432
0-1-y12-1.1.O,0119
0-1-y12-1.1.O,0044
0-1-y12-1.1.O,0045
0-1-y12-1.1.O,0046
0-1-y12-1.1.O,0047
0-1-y12-1.1.O,0048
0-1-y12-1.1.O,0049
0-1-y12-1.1.O,0050
0-1-y12-1.1.O,0051
0-1-y12-1.1.O,0052
0-1-y12-1.1.O,0265
0-1-y12-1.1.O,0271
0-1-y12-1.1.O,0340
0-1-y12-1.1.O,0350
0-1-y12-1.1.O,0351
0-1-y12-1.1.O,0352
0-1-y12-1.1.O,0353
0-1-y12-1.1.O,0354
0-1-y12-1.1.O,0355
0-1-y12-1.1.O,0356
0-1-y12-1.1.O,0357
0-1-y12-1.1.O,0390
0-1-y12-1.1.O,0372
0-1-y12-1.1.O,0373
0-1-y12-1.1.O,0374
0-1-y12-1.1.O,0375
0-1-y12-1.1.O,2804
0-1-y12-1.1.O,0376
0-1-y12-1.1.O,0377
0-1-y12-1.1.O,0378
0-1-y12-1.1.O,0380
0-1-y12-1.2.O,0265
0-1-y12-1.2.O,0271
0-1-y12-1.2.O,0340
0-1-y12-1.2.O,0350
0-1-y12-1.2.O,0351
0-1-y12-1.2.O,0352
0-1-y12-1.2.O,0353
0-1-y12-1.2.O,0354
0-1-y12-1.2.O,0355
0-1-y12-1.2.O,0356
0-1-y12-1.2.O,0357
0-1-y12-1.2.O,0390
0-1-y12-1.2.O,0372
0-1-y12-1.2.O,0373
0-1-y12-1.2.O,0374
0-1-y12-1.2.O,0375
0-1-y12-1.2.O,2804
0-1-y12-1.2.O,0376
0-1-y12-1.2.O,0377
0-1-y12-1.2.O,0378
0-1-y12-1.2.O,0380
0-1-y12-1.3.O,0226
0-1-y12-1.3.O,0228
0-1-y12-1.3.O,0229
0-1-y12-1.3.O,0227
0-1-y12-1.3.O,0230
0-1-y12-1.3.O,0231
0-1-y12-1.3.O,1641
0-1-y12-1.3.O,1642
0-1-y12-1.3.O,0213
0-1-y12-1.3.O,0214
0-1-y12-1.3.O,4432
0-1-y12-1.3.O,0119
0-1-y12-1.3.O,0044
0-1-y12-1.3.O,0045
0-1-y12-1.3.O,0046
0-1-y12-1.3.O,0047
0-1-y12-1.3.O,0048
0-1-y12-1.3.O,0049
0-1-y12-1.3.O,0050
0-1-y12-1.3.O,0051
0-1-y12-1.3.O,0052
0-1-y12-1.3.O,0265
0-1-y12-1.3.O,0271
0-1-y12-1.4.I,0381
0-1-y12-1.4.I,0382
0-1-y12-1.4.I,4451
0-1-y12-1.4.I,0383
0-1-y12-1.4.I,0384
0-1-y12-1.4.I,0385
0-1-y12-1.4.I,0387
0-1-y12-1.4.I,0388
0-1-y12-1.4.I,0389
0-1-y12-1.4.I,0393
0-1-y12-1.4.I,0371
0-1-y12-1.4.I,0391
0-1-y12-1.4.I,0392
0-1-y12-1.4.I,0395
0-1-y12-1.4.I,0396
0-1-y12-1.4.I,0397
0-1-y12-1.4.I,0398
0-1-y12-1.4.I,0399
0-1-y12-1.4.I,0400
0-1-y12-1.4.I,0319
0-1-y12-1.4.I,0278
0-1-y12-1.4.I,0010
0-1-y12-1.4.I,0012
0-1-y12-1.4.I,0014
0-1-y12-1.4.I,0015
0-1-y12-1.4.I,0017
0-1-y12-1.4.I,0018
0-1-y12-1.4.I,0019
0-1-y12-1.4.I,0021
0-1-y12-1.4.I,0085
0-1-y12-1.4.I,0203
0-1-y12-1.4.I,0204
0-1-y12-1.4.I,0205
0-1-y12-1.4.I,1620
0-1-y12-1.4.I,0220
0-1-y12-1.4.I,0221
0-1-y12-1.4.I,0222
0-1-y12-1.4.I,0223
0-1-y12-1.4.I,0224
0-1-y12-1.4.I,0225
0-1-y12-1.4.I,0226
0-1-y12-1.5.I,0381
0-1-y12-1.5.I,0382
0-1-y12-1.5.I,4451
0-1-y12-1.5.I,0383
0-1-y12-1.5.I,0384
0-1-y12-1.5.I,0385
0-1-y12-1.5.I,0387
0-1-y12-1.5.I,0388
0-1-y12-1.5.I,0389
0-1-y12-1.5.I,0393
0-1-y12-1.5.I,0371
0-1-y12-1.5.I,0391
0-1-y12-1.5.I,0392
0-1-y12-1.5.I,0395
0-1-y12-1.5.I,0396
0-1-y12-1.5.I,0397
0-1-y12-1.5.I,0398
0-1-y12-1.5.I,0399
0-1-y12-1.5.I,0400
0-1-y12-1.5.I,0319
0-1-y12-1.5.I,0278
0-1-y12-1.5.I,0010
0-56A-y12-1.67.I,4344
0-56A-y12-1.67.I,2349
0-56A-y12-1.67.I,2351
0-56A-y12-1.67.I,2621
0-56A-y12-1.67.I,2622
0-56A-y12-1.67.I,2750
0-56A-y12-1.67.I,2751
0-56A-y12-1.67.I,2752
0-56A-y12-1.67.I,2753
0-56A-y12-1.67.I,2754
0-56A-y12-1.67.I,2755
0-56A-y12-1.67.I,2756
0-56A-y12-1.67.I,2764
0-56A-y12-1.67.I,7178
0-56A-y12-1.67.I,2765
0-56A-y12-1.67.I,2766
0-56A-y12-1.67.I,2767
0-56A-y12-1.67.I,2772
0-56A-y12-1.67.I,2768
0-56A-y12-1.67.I,2769
0-56A-y12-1.67.I,2770
0-56A-y12-1.67.I,2771
0-56A-y12-1.67.I,2773
0-56A-y12-1.67.I,2774
0-56A-y12-1.67.I,2777
0-56A-y12-1.67.I,2775
0-56A-y12-1.67.I,2181
0-56A-y12-1.67.I,2182
0-56A-y12-1.67.I,2778
0-56A-y12-1.67.I,2185
0-56A-y12-1.67.I,7043
0-56A-y12-1.67.I,1424
0-56A-y12-1.67.I,2186
0-56A-y12-1.67.I,2187
0-56A-y12-1.67.I,2188
0-56A-y12-1.67.I,2189
0-56A-y12-1.67.I,1436
0-56A-y12-1.67.I,3952
0-56A-y12-1.67.I,2190
0-56A-y12-1.67.I,4434
0-56A-y12-1.67.I,2379
0-56A-y12-1.67.I,2380
0-56A-y12-1.67.I,2382
0-56A-y12-1.67.I,5099
0-56A-y12-1.67.I,2383
0-56A-y12-1.67.I,2003
0-56A-y12-1.67.I,1358
0-56A-y12-1.67.I,0340
0-56A-y12-1.67.I,0350
0-56A-y12-1.67.I,0351
