route_short_name,trip_headsign
0059,Queen's Road - Pottery Road
0059,Pottery Road - Queen's Road
0102,DART Station - Terminal 1
0102,Terminal 1 - DART Station
0142,Wendell Avenue - Dartry Road
0142,Dartry Road - Wendell Avenue
007B,Mountjoy Square - Shanganagh Road
007B,Shanganagh Road - Mountjoy Square
0027,Jobstown House - Clare Hall Estate
0027,Clare Hall Estate - Jobstown House
0031,National Lottery - Dublin Road
0031,Howth Summit - Abbey Theatre
032X,Millview Road - Campus
032X,Campus - Millview Road
0033,National Lottery - St. Paul's Crescent
0033,St. Paul's Crescent - National Lottery
044B,Luas Station - Hill View
044B,Hill View - Luas Station
0026,Holles Street - Palmerstown Cemetery
0026,Palmerstown Cemetery - Holles Street
0066,Holles Street - Kingsbury
0066,Kingsbury - Holles Street
083A,Bus Garage - Stannaway Court
083A,Stannaway Court - Bus Garage
033B,Pavillions - Opposite the Burrow Estate
033B,Opposite the Burrow Estate - Pavillions
0017,Anthony's Road - Train Station
0017,Train Station - Anthony's Road
029A,National Lottery - Old Race Course
029A,Willie Nolan Road - Abbey Theatre
0049,Garda Station - The Square
0049,Jobstown House - Garda Station
0122,Ashington Gardens - Our Lady's Hospital for Sick Children
0122,Our Lady's Hospital for Sick Children - Ashington Gardens
0220,Shangan Crescent - FÁS Centre
0220,FÁS Centre - Shangan Crescent
033A,Carlton Court - St. Paul's Crescent
033A,St. Paul's Crescent - Carlton Court
0007,Mountjoy Square - Loughlinstown Wood
0007,Loughlinstown Wood - Mountjoy Square
0161,Luas Station - Rockbrook Park School
0161,Rockbrook Park School - Luas Station
0015,Park and Ride - Hunter's Avenue
0015,Hunter's Avenue - Park and Ride
031A,National Lottery - Sutton Castle
031A,Sutton Castle - Abbey Theatre
0040,Seamus Ennis Rd - Liffey Valley Shop Cen
0040,Liffey Valley Shop Cen - Seamus Ennis Rd
041C,National Lottery - Abbeyvale
041C,Abbeyvale - National Lottery
0046,UCD - Belarmine Plaza
046E,Train Station - Mountjoy Square
066A,Holles Street - River Forest
066A,River Forest - Holles Street
0076,Glenaulin - The Square
0076,The Square - Glenaulin
0079,Bedford Row - Spiddal Park
0079,Spiddal Park - Bedford Row
0083,Bus Garage - Stannaway Court
0083,Stannaway Court - Bus Garage
